Name	*comment	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
of the Glacier		100	0		58		50				1	10	cold-min		5	5	cold-max		15	15	cold-len		50	50	1	dblu	jewl														0
of Fire		100	0	1	36	56	28				1	12	fire-min		10	10	fire-max		30	30					1	dred	jewl														0
of Burning		100	0	1	57		49				1	12	fire-min		25	25	fire-max		50	50					1	dred	jewl														0
of Lightning		100	0	1	36	56	28				1	13	ltng-min		1	1	ltng-max		60	60					1	dyel	jewl														0
of Thunder		100	0	1	57		49				1	13	ltng-min		1	1	ltng-max		100	100					1	dyel	jewl														0
of Daring		100	0	1	19	35	14				1	17	dex		6	6											jewl														0
of Daring		100	0	1	36		28				1	17	dex		9	9											jewl														0
of Knowledge		100	0	1	24		18				1	23	enr		6	6											jewl														0
of Knowledge		100	0	1	41		33				1	23	enr		9	9											jewl														0
of Virility		100	0	1	33		25				1	31	str		6	6											jewl														0
of Virility		100	0	1	50		42				1	31	str		9	9											jewl														0
of Readiness		1	1	1	20		15				1	7	swing1		10	10											glov														0
of Craftsmanship		100	1	1	1		1				1	14	dmg-max		1	1											lcha														0
of Quality		100	1	1	41		33				1	14	dmg-max		2	2											lcha														0
of Maiming		100	1		71		63				1	14	dmg-max		4	4											lcha														0
of Craftsmanship		100	1	1	26		19				1	14	dmg-max		1	1											mcha														0
of Quality		100	1		56		48				1	14	dmg-max		2	2											mcha														0
of Craftsmanship		100	1	1	85		77				1	14	dmg-max		1	1											scha														0
of Blight		100	0	1	1		1				1	16	dmg-pois	75	21	21											lcha														0
of Venom		100	0	1	6		4				1	16	dmg-pois	100	39	39											lcha														0
of Pestilence		100	0	1	14		10				1	16	dmg-pois	125	52	52									1	dgrn	lcha														0
of Anthrax		100	0		21		15				1	16	dmg-pois	150	86	86									1	dgrn	lcha														0
of Blight		100	0	1	5		3				1	16	dmg-pois	75	21	21											mcha														0
of Venom		100	0	1	13		9				1	16	dmg-pois	100	39	39											mcha														0
of Pestilence		100	0	1	23		17				1	16	dmg-pois	125	52	52									1	dgrn	mcha														0
of Anthrax		100	0		33		25				1	16	dmg-pois	150	86	86									1	dgrn	mcha														0
of Blight		100	0	1	9		6				1	16	dmg-pois	75	21	21											scha														0
of Venom		100	0	1	20		15				1	16	dmg-pois	100	39	39											scha														0
of Pestilence		100	0	1	32		24				1	16	dmg-pois	125	52	52									1	dgrn	scha														0
of Anthrax		100	0		44		36				1	16	dmg-pois	150	86	86									1	dgrn	scha														0
of Frost		100	0	1	5		3				1	10	cold-min		1	1	cold-max		2	2	cold-len		25	25			lcha														0
of the Icicle		100	0	1	8		6				1	10	cold-min		2	2	cold-max		4	4	cold-len		25	25			lcha														0
of the Glacier		100	0	1	15		11				1	10	cold-min		3	3	cold-max		7	7	cold-len		25	25	1	dblu	lcha														0
of Winter		100	0		23		17				1	10	cold-min		6	6	cold-max		11	11	cold-len		25	25	1	dblu	lcha														0
of Frost		100	0	1	9		6				1	10	cold-min		1	1	cold-max		3	3	cold-len		25	25			mcha														0
of the Icicle		100	0	1	15		11				1	10	cold-min		2	2	cold-max		5	5	cold-len		25	25			mcha														0
of the Glacier		100	0	1	25		18				1	10	cold-min		3	3	cold-max		8	8	cold-len		25	25	1	dblu	mcha														0
of Winter		100	0		35		27				1	10	cold-min		6	6	cold-max		12	12	cold-len		25	25	1	dblu	mcha														0
of Frost		100	0	1	14		10				1	10	cold-min		1	1	cold-max		2	2	cold-len		25	25			scha														0
of the Icicle		100	0	1	21		15				1	10	cold-min		2	2	cold-max		4	4	cold-len		25	25			scha														0
of the Glacier		100	0	1	33		25				1	10	cold-min		3	3	cold-max		6	6	cold-len		25	25	1	dblu	scha														0
of Winter		100	0		46		38				1	10	cold-min		5	5	cold-max		9	9	cold-len		25	25	1	dblu	scha														0
of Flame		100	0	1	3		2				1	12	fire-min		1	1	fire-max		2	2							lcha														0
of Fire		100	0	1	8		6				1	12	fire-min		2	2	fire-max		3	3							lcha														0
of Burning		100	0	1	14		10				1	12	fire-min		3	3	fire-max		7	7					1	dred	lcha														0
of Incineration		100	0		22		16				1	12	fire-min		7	7	fire-max		14	14					1	dred	lcha														0
of Flame		100	0	1	7		5				1	12	fire-min		1	1	fire-max		2	2							mcha														0
of Fire		100	0	1	14		10				1	12	fire-min		2	2	fire-max		5	5							mcha														0
of Burning		100	0	1	24		18				1	12	fire-min		5	5	fire-max		11	11					1	dred	mcha														0
of Incineration		100	0		34		26				1	12	fire-min		10	10	fire-max		17	17					1	dred	mcha														0
of Flame		100	0	1	11		8				1	12	fire-min		1	1	fire-max		2	2							scha														0
of Fire		100	0	1	20		15				1	12	fire-min		2	2	fire-max		4	4							scha														0
of Burning		100	0	1	32		24				1	12	fire-min		4	4	fire-max		8	8					1	dred	scha														0
of Incineration		100	0		45		37				1	12	fire-min		7	7	fire-max		13	13					1	dred	scha														0
of Shock		100	0	1	4		3				1	13	ltng-min		1	1	ltng-max		3	3							lcha														0
of Lightning		100	0	1	7		5				1	13	ltng-min		1	1	ltng-max		7	7							lcha														0
of Thunder		100	0	1	15		11				1	13	ltng-min		1	1	ltng-max		21	21					1	dyel	lcha														0
of Storms		100	0		22		16				1	13	ltng-min		1	1	ltng-max		33	33					1	dyel	lcha														0
of Shock		100	0	1	7		5				1	13	ltng-min		1	1	ltng-max		5	5							mcha														0
of Lightning		100	0	1	14		10				1	13	ltng-min		1	1	ltng-max		13	13							mcha														0
of Thunder		100	0	1	24		18				1	13	ltng-min		1	1	ltng-max		25	25					1	dyel	mcha														0
of Storms		100	0		34		26				1	13	ltng-min		1	1	ltng-max		38	38					1	dyel	mcha														0
of Shock		100	0	1	12		9				1	13	ltng-min		1	1	ltng-max		6	6							scha														0
of Lightning		100	0	1	21		15				1	13	ltng-min		1	1	ltng-max		10	10							scha														0
of Thunder		100	0	1	33		25				1	13	ltng-min		1	1	ltng-max		18	18					1	dyel	scha														0
of Storms		100	0		45		37				1	13	ltng-min		1	1	ltng-max		28	28					1	dyel	scha														0
of Dexterity		1	0	1	1		1				1	17	dex		1	1											boot	glov													0
of Dexterity		1	0	1	1		1				1	17	dex		1	1											ring														0
of Strength		1	0	1	1		1				1	31	str		1	1											glov														0
of Strength		1	0	1	1		1				1	31	str		1	1											ring														0
of Thorns		1	0	1	1		1				1	6	thorns		1	1											tors	belt	shld												0
of Frost		1	0	1	1		1				1	10	dmg-cold	25	1	1											weap							staf	wand	orb					0
of Flame		1	0	1	1		1				1	12	dmg-fire		2	2											weap							staf	wand	orb					0
of Blight		1	0	1	1		1				1	16	dmg-pois	50	8	8											weap							scep	staf	orb					0
of Shock		1	0	1	1		1				1	13	dmg-ltng		3	3											weap							staf	wand	orb					0
of Regeneration		1	0	1	1		1				1	19	regen		2	2											amul	circ													0
of Energy		1	0	1	1		1				1	23	enr		1	1											amul	orb	circ	wand	staf	helm	ring								0
of Light		1	0	1	1		1				1	25	light		1	1	att		10	10							ring	amul													0
of the Leech		100	1	1	24		20				1	27	lifesteal		3	3											amul														0
of the Locust		100	1	1	57		45				1	27	lifesteal		5	5											amul														0
of the Lamprey		100	1	1	85		73				1	27	lifesteal		6	6									1	cred	amul														0
of the Bat		1	1	1	25		21				1	28	manasteal		3	3											ring														0
of the Wraith		1	1	1	58		46				1	28	manasteal		5	5											ring														0
of the Vampire		100	1	1	86		74				1	28	manasteal		6	6									1	cred	ring														0
